Income elasticity of demand,,,,,,,,,,,
,Lower Demands for Beef and Pork,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
609,,,,,,,,,,,
"IE(L,J)",,,,,,,,,,,
region,WoodFuel,WoodPrds,Beefprds,FoodGr,CoarseGr,OilCrop,MiscCrop,PorkPrds,PoultryPrds,ProcCrops,
1,-0.2,0.2,0.1,0,0,0,0,0.1,0.2,0.05,USA
2,-0.2,0.2,0.1,0,0,0,0,0.1,0.2,0.05,Canada
3,-0.2,0.2,0.1,0,0,0,0,0.1,0.2,0.05,OECD90 Europe
4,-0.2,0.2,0.1,0,0,0,0,0.1,0.2,0.05,Japan
5,-0.2,0.2,0.1,0,0,0,0,0.1,0.2,0.05,Aus & NZ
6,-0.2,0.2,0.1,-0.1,0,0,0,0.1,0.2,0.15,FSU
7,-0.2,0.2,0.1,-0.2,0,0,0,0.1,0.2,0.3,China/CPA
8,-0.2,0.2,0.1,-0.2,0,0,0,0.1,0.2,0.3,MiddleEast
9,-0.2,0.2,0.1,-0.2,0,0,0,0.1,0.2,0.3,Africa
10,-0.2,0.2,0.1,-0.1,0,0,0,0.1,0.2,0.15,Latin America
11,-0.2,0.2,0.1,-0.2,0,0,0,0.1,0.2,0.3,S&E Asia
12,-0.2,0.2,0.1,-0.1,0,0,0,0.1,0.2,0.1,EEU
13,-0.2,0.2,0.1,-0.25,0,0,0,0.1,0.2,0.15,Korea
14,-0.2,0.2,0.1,-0.2,0,0,0,0.1,0.2,0.3,India



EoF,,,,,,,,,,,